,id_mutation,date_mutation,prix,type_local,nombre_dependances,surface_reelle_bati,surface_carrez,nombre_pieces_principales,prix_au_m2_carrez,prix_au_m2_reel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
0,2023-543616,2023-01-04,140000.0,Appartement,0.0,18.0,18.75,1.0,7467.0,7778.0,178.0,RUE DE COURCELLES,2387,75017.0,75117,Paris 17e Arrondissement,75,75117000BG0053,2.298612,48.884255
1,2023-543617,2023-01-05,400000.0,Appartement,0.0,43.0,43.8,1.0,9132.0,9302.0,12.0,RUE TURGOT,9508,75009.0,75109,Paris 9e Arrondissement,75,75109000BD0036,2.345859,48.880564
3,2023-543619,2023-01-03,295000.0,Appartement,0.0,28.0,,2.0,,10536.0,18.0,RUE EMILE LEVEL,3246,75017.0,75117,Paris 17e Arrondissement,75,75117000DG0040,2.318419,48.893075
5,2023-543620,2023-01-03,300400.0,Appartement,1.0,36.0,36.11,2.0,8319.0,8344.0,75.0,BD BARBES,0662,75018.0,75118,Paris 18e Arrondissement,75,75118000BV0098,2.349162,48.891187
11,2023-543623,2023-01-04,213000.0,Appartement,2.0,27.0,,1.0,,7889.0,8.0,RUE BOUCRY,1139,75018.0,75118,Paris 18e Arrondissement,75,75118000CW0057,2.362369,48.894577
13,2023-543624,2023-01-04,600000.0,Appartement,2.0,85.0,85.81,4.0,6992.0,7059.0,82.0,RUE PIXERECOURT,7504,75020.0,75120,Paris 20e Arrondissement,75,75120000AT0007,2.396493,48.87457
16,2023-543625,2023-01-06,360000.0,Appartement,0.0,36.0,35.02,1.0,10280.0,10000.0,128.0,RUE LEGENDRE,5473,75017.0,75117,Paris 17e Arrondissement,75,75117000DK0100,2.322435,48.888709
18,2023-543626,2023-01-06,351400.0,Appartement,1.0,30.0,31.08,2.0,11306.0,11713.0,21.0,RUE DES CLOYS,2157,75018.0,75118,Paris 18e Arrondissement,75,75118000AW0034,2.339433,48.89248
19,2023-543628,2023-01-04,158000.0,Appartement,0.0,18.0,17.49,1.0,9034.0,8778.0,24.0,RUE BOINOD,1061,75018.0,75118,Paris 18e Arrondissement,75,75118000BW0071,2.350789,48.893014
20,2023-543629,2023-01-04,396800.0,Appartement,1.0,33.0,35.01,3.0,11334.0,12024.0,90.0,AV DE SAINT OUEN,8718,75018.0,75118,Paris 18e Arrondissement,75,75118000AH0001,2.32794,48.893404
22,2023-543631,2023-01-06,311900.0,Appartement,1.0,30.0,30.66,1.0,10173.0,10397.0,4.0,RUE DE BERRI,0904,75008.0,75108,Paris 8e Arrondissement,75,75108000BG0003,2.303785,48.871829
25,2023-543633,2023-01-04,260000.0,Appartement,0.0,29.0,28.35,1.0,9171.0,8966.0,11.0,RUE DE LA CR DES NOUES,2391,75020.0,75120,Paris 20e Arrondissement,75,75120000CI0056,2.402664,48.863589
26,2023-543634,2023-01-04,284710.0,Appartement,0.0,20.0,20.58,1.0,13834.0,14236.0,14.0,RUE TROYON,9479,75017.0,75117,Paris 17e Arrondissement,75,75117000AK0071,2.295496,48.876173
28,2023-543635,2023-01-09,338000.0,Appartement,1.0,34.0,35.8,2.0,9441.0,9941.0,10.0,VLA STENDHAL,9086,75020.0,75120,Paris 20e Arrondissement,75,75120000CL0053,2.402175,48.862232
30,2023-543636,2023-01-05,600000.0,Appartement,1.0,60.0,54.07,3.0,11097.0,10000.0,332.0,RUE DES PYRENEES,7904,75020.0,75120,Paris 20e Arrondissement,75,75120000AK0011,2.390441,48.87336
32,2023-543637,2023-01-03,730000.0,Appartement,2.0,79.0,78.2,4.0,9335.0,9241.0,192.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000AH0038,2.331722,48.894398
34,2023-543638,2023-01-09,285000.0,Appartement,0.0,19.0,24.92,1.0,11437.0,15000.0,75.0,BD MALESHERBES,5951,75008.0,75108,Paris 8e Arrondissement,75,75108000CI0040,2.316495,48.876937
35,2023-543639,2023-01-06,916000.0,Appartement,0.0,77.0,71.21,3.0,12863.0,11896.0,40.0,QUAI DE JEMMAPES,4964,75010.0,75110,Paris 10e Arrondissement,75,75110000BI0034,2.367918,48.869554
37,2023-543643,2023-01-04,378000.0,Appartement,0.0,35.0,33.79,2.0,11187.0,10800.0,11.0,RUE POUCHET,7766,75017.0,75117,Paris 17e Arrondissement,75,75117000DG0107,2.318768,48.892352
38,2023-543644,2023-01-04,250000.0,Appartement,0.0,23.0,,1.0,,10870.0,133.0,RUE DE ROME,8339,75017.0,75117,Paris 17e Arrondissement,75,75117000CJ0108,2.316759,48.885412
39,2023-543645,2023-01-06,396000.0,Appartement,1.0,26.0,35.14,2.0,11269.0,15231.0,46.0,RUE D ORSEL,6955,75018.0,75118,Paris 18e Arrondissement,75,75118000BQ0029,2.342325,48.883759
42,2023-543646,2023-01-04,175000.0,Appartement,1.0,21.0,,1.0,,8333.0,118.0,RUE DES MOINES,6401,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0053,2.323507,48.893177
44,2023-543647,2023-01-04,1121500.0,Appartement,1.0,110.0,91.55,5.0,12250.0,10195.0,11.0,RUE LEMERCIER,5503,75017.0,75117,Paris 17e Arrondissement,75,75117000CO0111,2.324547,48.885663
47,2023-543649,2023-01-06,1163879.0,Appartement,1.0,81.0,,4.0,,14369.0,80.0,RUE DES MARTYRS,6147,75018.0,75118,Paris 18e Arrondissement,75,75118000BQ0092,2.340104,48.883046
49,2023-543650,2023-01-06,302000.0,Appartement,1.0,30.0,,2.0,,10067.0,1.0,RUE D EUPATORIA,3449,75020.0,75120,Paris 20e Arrondissement,75,75120000AO0013,2.38625,48.868666
50,2023-543651,2023-01-06,571000.0,Appartement,1.0,54.0,,2.0,,10574.0,262.0,RUE DES PYRENEES,7904,75020.0,75120,Paris 20e Arrondissement,75,75120000BV0113,2.395486,48.869483
52,2023-543652,2023-01-04,472350.0,Appartement,0.0,52.0,,3.0,,9084.0,25.0,RUE DES ORMEAUX,6942,75020.0,75120,Paris 20e Arrondissement,75,75120000DT0009,2.400478,48.851529
53,2023-543653,2023-01-04,120000.0,Appartement,1.0,85.0,,4.0,,1412.0,15.0,RUE MARTEL,6130,75010.0,75110,Paris 10e Arrondissement,75,75110000AS0059,2.352627,48.874271
55,2023-543654,2023-01-09,495000.0,Appartement,1.0,63.0,,2.0,,7857.0,13.0,RUE DU PRE ST GERVAIS,7796,75019.0,75119,Paris 19e Arrondissement,75,75119000DX0027,2.392639,48.876296
59,2023-543655,2023-01-03,405000.0,Appartement,2.0,31.0,,1.0,,13065.0,102.0,BD ROCHECHOUART,8288,75018.0,75118,Paris 18e Arrondissement,75,75118000BQ0073,2.34138,48.882605
61,2023-543656,2023-01-06,186000.0,Appartement,1.0,18.0,,1.0,,10333.0,14.0,RUE FESSART,3625,75019.0,75119,Paris 19e Arrondissement,75,75119000EI0035,2.387123,48.876572
62,2023-543657,2023-01-03,209100.0,Appartement,0.0,25.0,,1.0,,8364.0,74.0,AV JEAN JAURES,4903,75019.0,75119,Paris 19e Arrondissement,75,75119000AX0054,2.377781,48.88443
64,2023-543658,2023-01-09,253000.0,Appartement,1.0,31.0,,2.0,,8161.0,116.0,RUE DES MOINES,6401,75017.0,75117,Paris 17e Arrondissement,75,75117000DM0052,2.323396,48.893079
65,2023-543659,2023-01-06,374150.0,Appartement,1.0,34.0,38.67,3.0,9675.0,11004.0,43.0,RUE DE LA REUNION,8180,75020.0,75120,Paris 20e Arrondissement,75,75120000DR0073,2.401679,48.854807
67,2023-543660,2023-01-09,264745.0,Appartement,0.0,40.0,,2.0,,6619.0,21.0,RUE DES CLOYS,2157,75018.0,75118,Paris 18e Arrondissement,75,75118000AW0034,2.339433,48.89248
68,2023-543661,2023-01-04,100000.0,Appartement,0.0,9.0,,1.0,,11111.0,89.0,RUE DU FBG ST MARTIN,3522,75010.0,75110,Paris 10e Arrondissement,75,75110000BA0035,2.357403,48.873133
70,2023-543662,2023-01-04,268000.0,Appartement,1.0,23.0,,1.0,,11652.0,21.0,RUE MICHEL LE COMTE,6336,75003.0,75103,Paris 3e Arrondissement,75,75103000AT0091,2.355277,48.862101
72,2023-543664,2023-01-10,316770.0,Appartement,0.0,35.0,34.93,2.0,9069.0,9051.0,5.0,RUE LOUIS PUTEAUX,7892,75017.0,75117,Paris 17e Arrondissement,75,75117000CL0022,2.32177,48.882946
73,2023-543665,2023-01-11,94000.0,Appartement,1.0,15.0,14.37,1.0,6541.0,6267.0,2.0,RUE DE LAGHOUAT,5261,75018.0,75118,Paris 18e Arrondissement,75,75118000CF0100,2.355989,48.888112
75,2023-543666,2023-01-05,199000.0,Appartement,0.0,18.0,20.01,1.0,9945.0,11056.0,14.0,RUE DENOYEZ,2696,75020.0,75120,Paris 20e Arrondissement,75,75120000AA0028,2.378925,48.871766
76,2023-543667,2023-01-06,1162000.0,Appartement,1.0,106.0,,4.0,,10962.0,13.0,PAS DUBAIL,2938,75010.0,75110,Paris 10e Arrondissement,75,75110000BB0065,2.359603,48.873893
78,2023-543668,2023-01-11,395000.0,Appartement,2.0,43.0,,2.0,,9186.0,10.0,VLA DES NYMPHEAS,6856,75020.0,75120,Paris 20e Arrondissement,75,75120000BO0011,2.407757,48.869582
83,2023-543669,2023-01-10,260000.0,Appartement,2.0,31.0,,1.0,,8387.0,15.0,QUAI DE L OISE,6879,75019.0,75119,Paris 19e Arrondissement,75,75119000BH0045,2.38301,48.890943
85,2023-543670,2023-01-04,500000.0,Appartement,2.0,74.0,,4.0,,6757.0,6.0,VC J 20,X350,75020.0,75120,Paris 20e Arrondissement,75,75120000AW0023,2.402724,48.873186
87,2023-543671,2023-01-11,272000.0,Appartement,0.0,24.0,35.05,3.0,7760.0,11333.0,39.0,RUE PETIT,7314,75019.0,75119,Paris 19e Arrondissement,75,75119000CT0005,2.38355,48.885134
89,2023-543672,2023-01-10,380000.0,Appartement,1.0,30.0,34.45,2.0,11030.0,12667.0,31.0,RUE PIERRE FONTAINE,3713,75009.0,75109,Paris 9e Arrondissement,75,75109000AD0094,2.333069,48.882654
91,2023-543673,2023-01-05,1089450.0,Appartement,1.0,92.0,,5.0,,11842.0,38.0,RUE EUGENE CARRIERE,3407,75018.0,75118,Paris 18e Arrondissement,75,75118000AK0019,2.333778,48.891062
92,2023-543674,2023-01-05,877400.0,Appartement,1.0,69.0,68.74,3.0,12764.0,12716.0,50.0,RUE DE CLICHY,2116,75009.0,75109,Paris 9e Arrondissement,75,75109000AB0082,2.329696,48.880336
94,2023-543675,2023-01-10,693000.0,Appartement,0.0,64.0,64.2,3.0,10794.0,10828.0,30.0,RUE DU FBOURG MONTMARTRE,3510,75009.0,75109,Paris 9e Arrondissement,75,75109000AW0005,2.342982,48.873862
95,2023-543676,2023-01-10,469000.0,Appartement,1.0,48.0,49.08,3.0,9556.0,9771.0,12.0,RUE DE MARSEILLE,6122,75010.0,75110,Paris 10e Arrondissement,75,75110000BE0026,2.363876,48.871505
97,2023-543677,2023-01-06,890500.0,Appartement,0.0,63.0,,2.0,,14135.0,163.0,RUE SAINT-DENIS,8525,75002.0,75102,Paris 2e Arrondissement,75,75102000AM0098,2.349927,48.865342
98,2023-543678,2023-01-04,810000.0,Appartement,1.0,30.0,35.26,1.0,22972.0,27000.0,1.0,PL DES VICTOIRES,9741,75001.0,75101,Paris 1er Arrondissement,75,75101000AV0093,2.340729,48.865463
100,2023-543679,2023-01-09,221510.0,Appartement,1.0,25.0,,1.0,,8860.0,37.0,RUE SAINT FARGEAU,8603,75020.0,75120,Paris 20e Arrondissement,75,75120000AW0064,2.402683,48.872297
102,2023-543680,2023-01-06,518000.0,Appartement,1.0,76.0,,3.0,,6816.0,32.0,RUE MANIN,5976,75019.0,75119,Paris 19e Arrondissement,75,75119000DE0009,2.389397,48.883318
106,2023-543682,2023-01-06,431500.0,Appartement,1.0,39.0,36.02,2.0,11979.0,11064.0,22.0,PAS DES RECOLLETS,8081,75010.0,75110,Paris 10e Arrondissement,75,75110000BB0041,2.360792,48.874015
107,2023-543683,2023-01-11,1905100.0,Appartement,1.0,156.0,161.17,6.0,11820.0,12212.0,4.0,RUE LAFERRIERE,5242,75009.0,75109,Paris 9e Arrondissement,75,75109000AG0032,2.338472,48.878264
110,2023-543684,2023-01-12,914400.0,Appartement,2.0,76.0,,4.0,,12032.0,34.0,RUE DE CLICHY,2116,75009.0,75109,Paris 9e Arrondissement,75,75109000AJ0039,2.330222,48.879325
113,2023-543686,2023-01-06,350200.0,Appartement,1.0,40.0,40.4,2.0,8668.0,8755.0,27.0,RUE EUGENE JUMIN,3417,75019.0,75119,Paris 19e Arrondissement,75,75119000CY0048,2.39188,48.88787
115,2023-543687,2023-01-04,191250.0,Appartement,0.0,21.0,20.3,1.0,9421.0,9107.0,5.0,RUE DE L ALSACE LORRAINE,0253,75019.0,75119,Paris 19e Arrondissement,75,75119000DE0030,2.39278,48.882581
117,2023-543688,2023-01-10,707300.0,Appartement,1.0,54.0,52.53,3.0,13465.0,13098.0,4.0,RUE DE LA TOUR D AUVERGNE,5381,75009.0,75109,Paris 9e Arrondissement,75,75109000BE0001,2.345601,48.878798
118,2023-543689,2023-01-06,625500.0,Appartement,1.0,54.0,67.95,3.0,9205.0,11583.0,7.0,RUE CAIL,1419,75010.0,75110,Paris 10e Arrondissement,75,75110000AH0010,2.360916,48.882462
120,2023-543690,2023-01-06,324000.0,Appartement,0.0,36.0,35.39,2.0,9155.0,9000.0,110.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000AY0070,2.339901,48.895927
123,2023-543693,2023-01-06,650000.0,Appartement,2.0,81.0,77.87,4.0,8347.0,8025.0,23.0,RUE ERNESTINE,3339,75018.0,75118,Paris 18e Arrondissement,75,75118000CF0045,2.35425,48.889935
127,2023-543694,2023-01-05,3000.0,Appartement,1.0,60.0,,3.0,,50.0,54.0,RUE ORDENER,6918,75018.0,75118,Paris 18e Arrondissement,75,75118000BG0029,2.348054,48.892065
128,2023-543695,2023-01-09,740000.0,Appartement,1.0,68.0,70.08,3.0,10559.0,10882.0,13.0,RUE DE TOCQUEVILLE,9330,75017.0,75117,Paris 17e Arrondissement,75,75117000BP0030,2.313307,48.882553
130,2023-543696,2023-01-03,112000.0,Appartement,0.0,19.0,18.03,1.0,6212.0,5895.0,109.0,RUE CHAMPIONNET,1723,75018.0,75118,Paris 18e Arrondissement,75,75118000AX0137,2.340249,48.895608
131,2023-543698,2023-01-06,170000.0,Appartement,0.0,20.0,19.06,1.0,8919.0,8500.0,12.0,RUE PRADIER,7779,75019.0,75119,Paris 19e Arrondissement,75,75119000EC0121,2.381849,48.875256
133,2023-543699,2023-01-11,407000.0,Appartement,1.0,34.0,38.81,2.0,10487.0,11971.0,5.0,PAS DELESSERT,2675,75010.0,75110,Paris 10e Arrondissement,75,75110000BS0035,2.365172,48.878782
135,2023-543700,2023-01-04,262500.0,Appartement,1.0,28.0,,1.0,,9375.0,9.0,RUE DES RONDONNEAUX,8349,75020.0,75120,Paris 20e Arrondissement,75,75120000CL0157,2.39854,48.863531
136,2023-543701,2023-01-04,480000.0,Appartement,2.0,65.0,,3.0,,7385.0,48.0,RUE DU BORREGO,1112,75020.0,75120,Paris 20e Arrondissement,75,75120000AW0023,2.402724,48.873186
139,2023-543702,2023-01-12,118000.0,Appartement,0.0,16.0,,1.0,,7375.0,144.0,RUE D AVRON,0610,75020.0,75120,Paris 20e Arrondissement,75,75120000DY0051,2.40988,48.853129
141,2023-543703,2023-01-11,275000.0,Appartement,2.0,42.0,43.91,2.0,6263.0,6548.0,1.0,RUE DUVERGIER,3063,75019.0,75119,Paris 19e Arrondissement,75,75119000AO0079,2.376709,48.888613
144,2023-543704,2023-01-11,320000.0,Appartement,1.0,32.0,,2.0,,10000.0,17.0,AV JEAN JAURES,4903,75019.0,75119,Paris 19e Arrondissement,75,75119000AR0027,2.372571,48.883749
146,2023-543706,2023-01-06,50000.0,Appartement,2.0,69.0,5.1,3.0,9804.0,725.0,49.0,RUE CUSTINE,2496,75018.0,75118,Paris 18e Arrondissement,75,75118000BK0144,2.343788,48.889295
150,2023-543707,2023-01-04,447500.0,Appartement,1.0,37.0,,2.0,,12095.0,36.0,RUE DE CHABROL,1676,75010.0,75110,Paris 10e Arrondissement,75,75110000AL0082,2.352312,48.877201
152,2023-543708,2023-01-03,290000.0,Appartement,1.0,32.0,31.98,2.0,9068.0,9062.0,43.0,CRS DE VINCENNES,9850,75020.0,75120,Paris 20e Arrondissement,75,75120000DV0018,2.403598,48.848359
155,2023-543709,2023-01-10,402500.0,Appartement,2.0,46.0,45.5,2.0,8846.0,8750.0,52.0,RUE DES POISSONNIERS,7564,75018.0,75118,Paris 18e Arrondissement,75,75118000CF0196,2.35218,48.889357
157,2023-543710,2023-01-11,665000.0,Appartement,1.0,57.0,64.95,3.0,10239.0,11667.0,22.0,RUE LEPIC,5595,75018.0,75118,Paris 18e Arrondissement,75,75118000AR0151,2.334212,48.884906
158,2023-543711,2023-01-06,308000.0,Appartement,0.0,30.0,36.6,2.0,8415.0,10267.0,8.0,RUE AUGER,0533,75020.0,75120,Paris 20e Arrondissement,75,75120000DT0017,2.399414,48.850911
160,2023-543713,2023-01-06,572634.0,Appartement,2.0,60.0,,3.0,,9544.0,74.0,RUE DES VIGNOLES,9802,75020.0,75120,Paris 20e Arrondissement,75,75120000DO0161,2.402427,48.855363
