,id_mutation,date_mutation,prix,type_local,nb_dépendances,surface_réelle,surface_carrez,nb_pièces_principales,prix_au_m2_carrez,prix_au_m2_réel,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,longitude,latitude
0,2018-743587,2018-07-02,372000.0,Appartement,0.0,35.0,35.52,2.0,10473.0,10629.0,35.0,RUE NOTRE DAME DE NAZARETH,6834,75003.0,75103,Paris 3e Arrondissement,75,75103000AB0071,2.358136,48.867319
2,2018-743589,2018-07-03,158000.0,Appartement,0.0,10.0,,1.0,,15800.0,56.0,RUE DE RICHELIEU,8212,75001.0,75101,Paris 1er Arrondissement,75,75101000AV0063,2.337476,48.866524
3,2018-743590,2018-07-02,737420.0,Appartement,0.0,62.0,,3.0,,11894.0,139.0,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,75103000AE0067,2.35839,48.863756
10,2018-743594,2018-07-03,216500.0,Appartement,0.0,24.0,21.1,1.0,10261.0,9021.0,1.0,RUE JEAN MERMOZ,4921,75008.0,75108,Paris 8e Arrondissement,75,75108000BH0046,2.310473,48.870036
13,2018-743596,2018-07-05,347500.0,Appartement,0.0,35.0,31.95,2.0,10876.0,9929.0,219.0,RUE SAINT MARTIN,8694,75003.0,75103,Paris 3e Arrondissement,75,75103000AV0148,2.352721,48.86427
14,2018-743597,2018-07-02,267000.0,Appartement,0.0,27.0,27.25,1.0,9798.0,9889.0,142.0,RUE DU TEMPLE,9191,75003.0,75103,Paris 3e Arrondissement,75,75103000AI0034,2.358997,48.863836
17,2018-743599,2018-07-02,235000.0,Appartement,0.0,27.0,22.45,2.0,10468.0,8704.0,43.0,RUE DE RICHELIEU,8212,75001.0,75101,Paris 1er Arrondissement,75,75101000AW0040,2.336791,48.866161
18,2018-743600,2018-07-05,358800.0,Appartement,0.0,23.0,,1.0,,15600.0,76.0,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,75103000AL0067,2.365106,48.860541
19,2018-743600,2018-07-05,421200.0,Appartement,0.0,27.0,,1.0,,15600.0,76.0,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,75103000AL0067,2.365106,48.860541
21,2018-743602,2018-07-05,1667000.0,Appartement,0.0,128.0,127.73,5.0,13051.0,13023.0,41.0,RUE REAUMUR,8073,75003.0,75103,Paris 3e Arrondissement,75,75103000AD0015,2.354192,48.865735
22,2018-743603,2018-07-09,1433000.0,Appartement,0.0,136.0,135.78,5.0,10554.0,10537.0,10.0,PL HENRI BERGSON,4539,75008.0,75108,Paris 8e Arrondissement,75,75108000BW0009,2.320966,48.876357
23,2018-743604,2018-07-09,1230000.0,Appartement,0.0,134.0,127.33,5.0,9660.0,9179.0,226.0,RUE DE RIVOLI,8249,75001.0,75101,Paris 1er Arrondissement,75,75101000AY0006,2.3285,48.86519
24,2018-743605,2018-07-09,553000.0,Appartement,0.0,40.0,43.19,2.0,12804.0,13825.0,22.0,RUE MESLAY,6286,75003.0,75103,Paris 3e Arrondissement,75,75103000AF0009,2.36027,48.867943
28,2018-743609,2018-07-05,1451000.0,Appartement,0.0,102.0,31.42,4.0,46181.0,14225.0,25.0,RUE DU MONT THABOR,6537,75001.0,75101,Paris 1er Arrondissement,75,75101000BD0049,2.325011,48.866632
30,2018-743611,2018-07-04,245000.0,Appartement,0.0,25.0,24.83,1.0,9867.0,9800.0,53.0,RUE DE MONCEAU,6419,75008.0,75108,Paris 8e Arrondissement,75,75108000CM0019,2.311657,48.87868
32,2018-743613,2018-07-06,500000.0,Appartement,0.0,60.0,58.98,3.0,8477.0,8333.0,9.0,RUE DU PONT AUX CHOUX,7605,75003.0,75103,Paris 3e Arrondissement,75,75103000AL0053,2.366311,48.860877
33,2018-743614,2018-07-06,870000.0,Appartement,0.0,73.0,70.65,4.0,12314.0,11918.0,82.0,RUE DE TURENNE,9506,75003.0,75103,Paris 3e Arrondissement,75,75103000AL0045,2.364954,48.860947
35,2018-743615,2018-07-06,3575000.0,Appartement,0.0,276.0,273.6,9.0,13067.0,12953.0,217.0,RUE DU FAUBOURG SAINT HONORE,3518,75008.0,75108,Paris 8e Arrondissement,75,75108000AX0115,2.300376,48.876606
36,2018-743616,2018-07-09,460000.0,Appartement,0.0,40.0,48.42,3.0,9500.0,11500.0,2.0,PAS SAINT PHILIPPE DU ROULE,8727,75008.0,75108,Paris 8e Arrondissement,75,75108000BE0080,2.310784,48.873122
37,2018-743617,2018-07-13,385076.0,Appartement,0.0,47.0,41.16,3.0,9356.0,8193.0,25.0,RUE CAMBACERES,1443,75008.0,75108,Paris 8e Arrondissement,75,75108000BL0022,2.317705,48.87344
38,2018-743617,2018-07-13,90124.0,Appartement,0.0,11.0,,1.0,,8193.0,25.0,RUE CAMBACERES,1443,75008.0,75108,Paris 8e Arrondissement,75,75108000BL0022,2.317705,48.87344
40,2018-743619,2018-07-10,500000.0,Appartement,0.0,50.0,,3.0,,10000.0,3.0,RUE CHARLES-FRANCOIS DUPUIS,3015,75003.0,75103,Paris 3e Arrondissement,75,75103000AG0080,2.363048,48.865318
44,2018-743622,2018-07-11,250000.0,Appartement,0.0,29.0,29.83,2.0,8381.0,8621.0,4.0,RUE DES SAUSSAIES,8843,75008.0,75108,Paris 8e Arrondissement,75,75108000BN0058,2.317076,48.871015
45,2018-743623,2018-07-05,35000.0,Appartement,0.0,8.0,20.0,1.0,1750.0,4375.0,10.0,RUE DE COPENHAGUE,2306,75008.0,75108,Paris 8e Arrondissement,75,75108000CF0044,2.320118,48.880392
46,2018-743624,2018-07-02,264960.0,Appartement,0.0,18.0,,1.0,,14720.0,31.0,RUE DES TOURNELLES,9382,75003.0,75103,Paris 3e Arrondissement,75,75103000AN0085,2.367066,48.856285
47,2018-743624,2018-07-02,323840.0,Appartement,0.0,22.0,,1.0,,14720.0,31.0,RUE DES TOURNELLES,9382,75003.0,75103,Paris 3e Arrondissement,75,75103000AN0085,2.367066,48.856285
48,2018-743625,2018-07-12,754000.0,Appartement,0.0,62.0,65.54,2.0,11504.0,12161.0,55.0,RUE DES ARCHIVES,0420,75003.0,75103,Paris 3e Arrondissement,75,75103000AR0004,2.358298,48.861636
